STATE	YEAR	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC
VA	1900	45.40	44.70	51.30	65.40	77.80	82.00	88.90	90.70	83.60	70.90	58.40	46.40
VA	1901	44.90	41.20	56.90	59.10	74.20	82.40	88.10	82.70	76.60	68.70	50.00	44.10
VA	1902	41.00	37.50	57.00	63.50	78.70	82.80	87.70	83.60	76.70	69.20	62.20	44.80
VA	1903	42.40	49.80	61.50	64.20	77.40	77.00	86.40	82.60	77.50	67.60	53.10	40.90
VA	1904	39.70	41.00	55.40	61.80	75.70	81.70	84.20	81.80	78.40	68.10	54.00	42.50
VA	1905	39.80	36.20	58.80	66.40	77.60	82.90	84.40	82.50	79.20	68.30	56.10	45.80
VA	1906	47.80	46.80	47.90	68.90	76.90	83.00	83.10	84.20	79.80	64.40	57.50	47.30
VA	1907	51.40	43.10	62.00	58.20	72.70	75.80	85.70	82.40	79.70	65.10	52.80	47.30
VA	1908	43.10	40.80	61.20	69.10	75.50	81.40	85.90	81.80	77.40	68.40	58.00	47.70
VA	1909	48.70	54.80	53.60	66.70	74.90	82.70	84.00	82.60	75.50	65.80	62.30	41.50
VA	1910	44.60	45.00	64.60	68.00	72.90	78.00	85.20	81.60	80.00	71.00	49.80	39.30
VA	1911	49.30	50.10	54.30	60.70	81.10	84.00	87.40	85.90	80.30	67.60	52.70	50.10
VA	1912	35.80	41.20	52.30	68.50	76.00	80.70	84.70	83.60	80.20	69.90	56.90	49.50
VA	1913	53.90	47.90	59.60	65.90	76.40	82.00	86.20	82.70	76.00	67.20	58.80	49.50
VA	1914	47.40	42.60	50.00	65.60	78.40	86.00	85.00	85.50	76.80	69.00	56.60	39.80
VA	1915	43.20	49.90	47.40	70.50	74.50	79.30	84.90	81.60	79.00	69.30	58.10	43.60
VA	1916	51.70	47.30	53.20	64.40	78.30	79.20	83.90	83.50	77.10	68.60	57.90	46.00
VA	1917	47.10	46.50	54.30	67.00	69.90	82.00	83.80	83.80	73.20	64.10	53.70	35.90
VA	1918	32.70	50.40	61.40	62.60	79.90	80.40	81.90	86.10	73.80	71.50	55.30	49.10
VA	1919	47.90	46.00	57.90	66.00	74.40	81.60	85.10	82.70	80.60	74.90	57.00	44.40
VA	1920	42.20	42.10	56.70	63.70	71.20	80.80	83.20	80.60	78.10	72.20	53.90	46.00
VA	1921	46.40	49.50	67.40	70.10	71.90	84.20	86.60	82.80	83.90	69.80	58.80	48.60
VA	1922	41.20	49.80	57.00	67.20	75.60	82.50	83.90	80.60	79.80	71.00	57.30	49.80
VA	1923	46.60	43.50	58.20	65.50	74.10	84.90	84.60	82.90	78.20	67.00	53.40	55.00
VA	1924	45.30	43.40	52.00	63.90	71.10	81.00	82.60	84.80	72.80	69.80	56.90	47.70
VA	1925	43.00	55.40	58.80	69.20	71.80	87.30	87.30	84.00	84.10	61.90	53.40	44.40
VA	1926	43.60	48.70	50.40	64.10	77.30	80.70	86.70	85.60	79.50	67.70	53.00	43.80
VA	1927	43.60	53.80	57.70	62.90	74.40	78.80	84.60	78.60	80.20	70.20	60.20	47.40
VA	1928	46.90	47.60	55.80	62.50	73.80	79.40	85.90	84.20	72.50	68.70	56.60	47.60
VA	1929	44.60	44.30	60.40	69.60	74.20	80.90	84.10	82.30	78.60	65.50	54.90	48.00
VA	1930	46.10	54.40	55.00	66.20	78.60	83.30	90.00	86.10	84.70	66.00	53.30	42.00
VA	1931	46.00	50.00	47.70	64.50	74.20	83.60	88.20	82.60	83.30	72.50	64.20	54.80
VA	1932	54.30	55.20	51.50	65.30	74.50	83.20	88.10	87.10	80.30	67.70	54.00	49.30
VA	1933	52.10	48.50	53.60	65.90	78.50	85.50	85.10	83.00	83.40	68.70	55.00	51.40
VA	1934	49.00	37.80	52.80	66.40	76.90	86.20	88.70	82.40	78.40	68.10	58.90	45.90
VA	1935	43.20	47.50	61.10	61.30	73.00	82.40	85.40	83.70	76.90	70.00	57.70	37.80
VA	1936	38.60	41.50	60.10	63.00	80.20	83.90	87.90	86.20	81.00	69.20	54.40	46.70
VA	1937	52.10	46.20	52.70	64.40	76.40	84.20	84.40	84.70	75.40	63.70	54.10	44.50
VA	1938	44.10	52.20	62.00	67.90	74.20	80.10	84.40	86.50	76.50	69.80	60.30	45.90
VA	1939	47.70	52.80	58.40	64.80	77.70	85.10	83.60	84.20	81.70	70.20	53.60	48.00
VA	1940	32.30	46.00	51.80	62.90	75.00	83.20	84.50	80.30	76.90	67.50	56.00	51.40
VA	1941	42.50	42.50	50.00	70.50	80.30	82.10	85.40	85.60	83.30	76.10	60.60	50.90
VA	1942	43.50	43.10	57.20	70.90	78.10	83.20	87.00	82.10	78.90	68.10	58.40	43.00
VA	1943	47.20	50.00	55.70	63.60	77.80	87.30	85.40	87.80	77.80	67.70	57.20	46.90
VA	1944	46.30	49.00	54.20	65.40	81.60	86.00	86.80	84.40	78.20	67.50	54.30	42.00
VA	1945	40.60	48.90	67.90	70.20	73.00	83.80	84.40	83.70	80.90	68.50	58.30	38.80
VA	1946	45.30	50.50	63.20	67.70	74.10	82.10	83.90	80.30	78.90	70.70	62.20	53.00
VA	1947	50.60	40.90	47.20	68.70	76.70	81.20	83.20	86.20	78.60	72.30	52.40	47.10
VA	1948	38.20	48.30	59.90	68.70	74.80	82.90	86.00	83.60	77.20	65.20	60.10	48.90
VA	1949	52.60	54.20	56.80	64.40	76.20	83.50	86.80	83.30	75.30	71.00	57.40	50.40
VA	1950	57.30	48.70	53.50	64.70	74.40	82.60	82.70	82.40	74.80	70.00	55.90	42.40
VA	1951	48.50	50.30	54.60	65.20	75.40	82.60	86.70	84.80	79.20	70.80	52.20	49.20
VA	1952	50.00	50.10	55.00	66.30	75.60	87.90	89.20	83.60	78.20	66.50	57.20	46.30
VA	1953	49.60	51.90	56.80	65.80	80.30	84.00	88.60	86.70	80.70	72.80	58.60	48.80
VA	1954	46.60	54.00	56.00	71.70	71.40	84.40	88.20	85.20	84.40	71.70	52.50	44.50
VA	1955	42.80	49.20	58.90	69.90	77.90	78.60	88.40	85.10	77.70	69.40	56.00	42.70
VA	1956	41.90	50.70	55.30	63.90	76.20	82.90	85.00	84.40	75.90	67.40	55.40	56.20
VA	1957	42.90	51.10	54.30	70.40	77.60	83.20	87.20	84.00	78.30	62.30	57.30	49.60
VA	1958	40.60	38.80	48.00	65.50	74.10	80.30	86.40	83.00	78.60	67.00	59.90	41.80
VA	1959	44.50	50.30	56.70	68.80	78.40	83.60	85.00	86.90	79.70	68.20	55.60	48.80
VA	1960	45.20	45.30	42.40	71.70	73.10	82.20	84.50	85.00	77.60	67.70	59.30	42.10
VA	1961	40.50	49.90	58.80	60.10	71.60	80.40	85.00	83.40	81.10	69.50	57.80	44.90
VA	1962	43.30	47.60	51.60	64.50	79.50	80.60	82.50	83.50	75.20	69.60	52.90	42.00
VA	1963	41.70	41.40	60.60	69.30	74.60	81.90	85.40	84.30	76.30	73.00	58.40	38.00
VA	1964	46.20	43.80	57.20	65.40	77.10	84.40	84.80	82.10	77.90	64.30	62.00	49.30
VA	1965	45.20	47.50	51.70	64.80	80.30	79.90	84.00	84.90	79.90	66.40	58.00	50.70
VA	1966	38.90	43.90	57.90	61.40	74.50	83.10	88.50	83.20	75.40	66.60	58.20	44.60
VA	1967	48.90	43.40	58.10	69.50	70.20	81.40	82.50	81.30	74.40	66.80	52.70	49.20
VA	1968	40.60	42.20	60.40	67.20	72.20	82.50	85.40	86.30	79.00	68.30	56.70	43.70
VA	1969	40.90	42.70	50.90	68.40	76.50	83.30	85.80	82.60	76.20	67.80	54.20	41.30
VA	1970	38.40	46.70	51.80	67.00	78.00	83.10	85.30	84.20	83.10	69.40	55.80	48.50
VA	1971	40.70	47.20	52.70	67.40	72.20	82.60	83.70	82.40	78.20	69.80	55.80	55.20
VA	1972	48.30	44.10	55.70	66.00	72.20	77.60	83.70	82.90	78.30	64.00	53.60	50.80
VA	1973	45.80	45.90	59.40	63.50	72.00	83.30	85.10	84.30	80.60	70.20	60.10	47.00
VA	1974	52.60	48.50	59.90	68.60	74.30	77.70	84.70	82.00	75.10	67.60	57.90	48.10
VA	1975	48.50	49.20	52.70	62.60	76.30	81.80	83.00	86.30	74.80	70.80	61.80	47.10
VA	1976	42.00	57.30	62.30	71.00	72.90	81.60	84.60	83.40	77.00	61.30	51.00	44.20
VA	1977	32.00	48.20	61.80	70.80	77.90	80.20	89.30	86.40	79.80	64.00	56.20	44.90
VA	1978	36.80	37.40	52.20	66.70	72.30	82.70	84.10	85.50	80.20	67.60	59.40	50.50
VA	1979	41.00	37.10	59.50	65.60	73.90	78.70	82.40	83.80	75.50	66.10	60.20	50.00
VA	1980	43.00	42.40	52.70	66.90	75.90	81.50	88.00	87.80	82.20	65.80	54.80	47.30
VA	1981	39.50	50.30	53.40	71.00	72.90	84.60	84.90	82.40	77.00	65.40	57.10	41.70
VA	1982	37.80	47.80	56.60	64.10	79.10	79.30	84.90	81.80	76.40	67.20	59.40	52.10
VA	1983	42.40	46.30	56.20	61.10	73.40	81.70	88.30	88.20	80.00	67.00	57.70	43.10
VA	1984	40.30	52.30	51.40	62.50	73.90	84.50	82.10	83.60	75.80	72.90	55.20	56.20
VA	1985	38.30	46.60	59.80	72.20	76.50	81.40	84.10	82.00	79.20	70.00	62.90	44.60
VA	1986	44.60	45.50	58.20	69.20	76.10	85.30	88.80	81.50	77.70	69.80	55.50	47.00
VA	1987	41.60	45.90	57.40	61.90	77.80	84.30	89.10	87.10	78.30	64.40	60.50	49.10
VA	1988	39.60	47.60	58.30	65.70	74.70	83.10	88.10	87.50	76.00	62.70	58.60	47.60
VA	1989	50.40	47.50	56.60	64.90	71.90	83.00	84.10	81.60	76.50	69.50	57.10	36.80
VA	1990	52.70	56.70	60.80	66.80	73.10	82.80	86.50	82.90	77.70	70.70	63.20	53.20
VA	1991	46.70	52.70	58.40	68.00	80.00	83.20	87.00	84.40	79.00	70.60	56.70	52.00
VA	1992	47.40	51.00	55.30	66.10	70.20	77.60	85.90	80.10	76.80	66.00	55.60	45.80
VA	1993	47.50	45.30	50.80	65.30	76.40	83.10	89.60	86.20	79.40	67.00	57.40	44.40
VA	1994	38.40	48.30	56.80	72.30	72.00	84.70	86.00	81.90	77.00	67.60	62.80	52.50
VA	1995	46.00	45.00	60.60	68.20	74.10	80.20	87.30	86.80	77.00	70.80	52.20	43.20
VA	1996	42.50	46.00	51.50	66.80	74.20	83.30	83.60	82.00	76.00	67.80	51.10	49.90
VA	1997	45.50	51.50	59.80	62.90	72.20	79.60	86.50	83.90	77.90	68.10	53.00	47.30
VA	1998	49.40	50.30	55.70	67.80	76.20	82.10	86.50	86.20	84.70	70.20	60.20	53.00
VA	1999	49.80	51.30	53.90	68.70	76.40	82.00	88.50	86.50	76.90	66.80	63.90	50.70
VA	2000	44.70	53.20	62.60	65.00	78.50	83.10	82.00	82.20	75.60	71.70	55.00	40.00
VA	2001	45.00	52.80	53.00	69.70	75.20	82.30	82.70	85.50	76.40	69.60	65.70	54.10
VA	2002	50.20	53.20	58.50	70.70	74.80	85.30	87.60	87.50	80.20	65.90	54.50	45.20
VA	2003	40.00	42.80	60.20	66.30	70.90	78.90	84.20	84.70	76.60	66.90	63.30	46.70
VA	2004	41.90	46.60	59.70	66.90	80.30	80.40	84.30	81.80	77.40	66.90	59.90	49.00
VA	2005	47.20	49.80	52.10	67.60	72.00	82.40	86.70	86.20	83.00	68.40	61.60	44.60
VA	2006	52.80	48.30	58.30	71.60	73.90	81.70	86.50	87.60	74.30	65.40	59.80	55.10
VA	2007	49.70	41.90	62.40	65.30	77.00	83.50	85.30	89.30	82.30	74.80	57.80	50.60
VA	2008	46.30	51.00	59.20	67.00	73.40	86.50	86.10	83.80	78.30	67.00	54.30	50.00
VA	2009	42.20	50.80	55.90	68.00	74.70	82.10	82.50	85.10	76.20	65.90	59.60	44.80
VA	2010	41.60	40.10	58.60	73.20	77.60	87.30	89.90	86.20	83.20	70.40	58.60	38.10
VA	2011	41.00	52.80	57.20	70.10	76.00	85.00	89.00	85.70	77.00	66.50	61.70	53.20
VA	2012	49.60	53.10	67.90	68.00	78.20	82.50	89.40	84.10	77.90	67.20	54.00	52.50
VA	2013	48.00	46.40	50.00	68.40	73.70	82.00	84.60	81.00	77.60	68.00	54.90	50.30
VA	2014	40.60	47.30	52.50	68.00	77.50	83.40	84.00	80.80	77.30	68.80	53.00	49.40
VA	2015	43.10	39.80	55.60	68.10	79.20	83.70	84.70	84.00	79.40	67.10	61.80	59.00
VA	2016	43.00	47.60	63.70	68.20	71.50	83.00	87.50	86.70	81.80	71.00	61.30	48.80
VA	2017	48.30	58.70	57.60	72.10	73.80	82.30	87.50	82.70	77.90	72.10	57.40	46.70
VA	2018	42.90	55.20	51.00	64.40	80.90	83.10	85.30	85.00	80.50	68.80	52.70	48.50
VA	2019	45.30	51.70	55.10	70.00	80.20	81.50	87.80	85.50	84.50	71.30	54.00	51.40
VA	2020	49.90	52.20	62.30	65.20	70.60	81.60	89.80	84.30	75.60	69.70	63.10	48.00
